id_inscripcion;fecha_inscripcion;taller;sede;alumno;dni;arancel;beca_pct;estado;medio_pago
INS-20023;10/04/2026;Serigrafía;Sede Centro;Martina Rojas;39360154;15.000,00;0;Anulada;Transferencia
INS-20114;08/05/2026;Fotografía analógica;Sede Norte;Dante Correa;33084264;16.000,00;0;confirmada;Efectivo
INS-20186;08/05/2026;Cerámica;Sede Centro;Mora Castro;44338596;14.000,00;20;Confirm.;Efectivo
INS-20016;16/04/2026;Cerámica ;Sede Centro;Mora Ibáñez;42475318;14.000,00;30;Confirm.;Efectivo
INS-20188;2026-06-02;Cerámica;Sede Centro;Pilar Vega;44090160;14.000,00;0;CONFIRMADA;Efectivo
INS-20175;18/04/2026;Costura creativa;Sede Norte;Pilar Vega;36338366;13.000,00;0;Confirmada;Efectivo
INS-20251;2026-05-12;Serigrafía;Sede Centro;Ariadna López;44684715;15.000,00;;Confirmada;Efectivo
INS-20321;05/05/2026;Huerta orgánica;Sede Norte;Catalina Castro;44415272;9.000,00;0;confirmada;Tarjeta
INS-20139;22/05/2026;Yoga;Sede Sur;Abril Núñez;34149521;10.000,00;20;Confirm.;Transferencia
INS-20117;14/03/2026;Guitarra;;Olivia Torres;31294051;12.000,00;60;Confirmada;Tarjeta
INS-20066;27/04/2026;Yoga;Sede Sur;Camila Castro;35949401;10.000,00;;confirmada;Efectivo
INS-20084;01/06/2026;Cerámica;Sede Centro;Lautaro Flores;37418388;14.000,00;0;Pendiente;Tarjeta
INS-20178;27/03/2026;Serigrafía;Sede Centro;Milagros Castro;38055966;15.000,00;20;Confirmada;Tarjeta
INS-20130;23/04/2026;Yoga;Sede Sur;Ramiro Gómez;42539775;10.000,00;;Confirm.;Tarjeta
INS-20099;11/03/2026;Huerta orgánica;Sede Norte;Baltasar Rodríguez;42971117;9.000,00;30;Confirm.;Efectivo
INS-20230;27/03/2026;GUITARRA;Sede Centro;Gael Molina;35242902;12.000,00;;Confirm.;Efectivo
INS-20102;19/03/2026;Cerámica;Sede Centro;Guadalupe Martínez;45260907;14.000,00;0;Confirmada;Efectivo
INS-20062;01/05/2026;Guitarra;Sede Centro;Isabella Gómez;33157639;12.000,00;0;confirmada;Tarjeta
INS-20079;23/05/2026;Cerámica;centro;Josefina Martínez;40273700;14.000,00;50;Confirmada;Tarjeta
INS-20257;06/05/2026;Huerta orgánica;Sede Norte;Agustina Torres;43162560;9.000,00;20;Confirm.;Efectivo
INS-20297;05/03/2026;Yoga;Sede Sur;Valentina Molina;39490881;10.000,00;20;confirmada;Tarjeta
INS-20284;11/05/2026;Costura creativa;Sede Norte;Thiago López;42579136;13.000,00;0;confirmada;Transferencia
INS-20312;26/04/2026;Fotografía analógica;Sede Norte;Ariadna Rodríguez;33247785;16.000,00;;CONFIRMADA;Efectivo
INS-20112;26/05/2026;Yoga;Sede Sur;Martina Herrera;32933123;10.000,00;0;CONFIRMADA;Tarjeta
INS-20209;13/03/2026;Serigrafía;Sede Centro;Renata Sosa;44379496;15.000,00;30;Confirmada;Tarjeta
INS-20224;22/05/2026;Cerámica;Sede Centro;Pilar Aguirre;36371671;14.000,00;0;Confirmada;Tarjeta
INS-20303;31/05/2026;Yoga;Sede Sur;Victoria Ibáñez;31474366;-10.000,00;20;Confirmada;Transferencia
INS-20013;23/04/2026;Huerta orgánica;Sede Norte;Emma Romero;35863626;9.000,00;0;confirmada;Transferencia
INS-20052;30/03/2026;Yoga;Sede Sur;Delfina Sosa;40945451;10.000,00;30;Confirmada;Efectivo
INS-20259;31/03/2026;Yoga;Sede Sur;Thiago Correa;39181233;10.000,00;0;Confirmada;Tarjeta
INS-20092;31/05/2026;Serigrafía;Sede Centro;Malena Correa;36303443;15.000,00;;Confirmada;Tarjeta
INS-20080;26/04/2026;Guitarra;Sede Centro;Thiago López;33024655;12.000,00;60;Confirm.;Efectivo
INS-20019;02/05/2026;Serigrafía;Sede Centro;Mateo Ortega;33430021;15.000,00;50;Confirmada;Tarjeta
INS-20073;26/04/2026;Fotografía analógica;Sede Norte;Mariano Ortega;40744489;16.000,00;0;Pendiente;Efectivo
INS-20038;2026-05-28;Yoga;Sede Sur;Alma Ortega;35554714;10.000,00;20;Confirmada;Efectivo
INS-20078;17/04/2026;Costura creativa;Sede Norte;Mateo Herrera;43063006;13.000,00;0;CONFIRMADA;Tarjeta
INS-20002;18/03/2026;Cerámica;Sede Centro;Lorenzo Rodríguez;42244654;14.000,00;0;CONFIRMADA;Tarjeta
INS-20216;01/05/2026;Serigrafía;Sede Centro;Simón Herrera;34092278;15.000,00;0;Pendiente;Transferencia
INS-20148;11/04/2026;Cerámica;Sede Centro;Josefina Domínguez;32077620;14.000,00;0;Confirm.;Efectivo
INS-20270;2026-05-25;Yoga;Sede Sur;Lucía Correa;42996451;10.000,00;0;Pendiente;Tarjeta
INS-20021;23/05/2026;Cerámica;Sede Centro;Sofía Martínez;40222749;14.000,00;30;Confirmada;Tarjeta
INS-20037;04/06/2026;Costura creativa;Sede Norte;Ariadna Ruiz;30474382;13.000,00;0;Confirmada;Transferencia
INS-20164;18/03/2026;Fotografía analógica;Sede Norte;Benjamín Godoy;33473251;16.000,00;0;CONFIRMADA;Efectivo
